title:estres_1, start timestamp:1695758897.191525, stop timestamp:1695759025.026200, headset type:INSIGHT2, headset serial:A3D20207, headset firmware:a11, channels:31, sampling rate:eeg_128;mc_8, samples:16369     , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MC.Action,MC.ActionPower,MC.IsActive
1695758897.339915,1695758897.340799,2.000000,0.000000,4268.333496,4293.205078,4132.179688,4178.589844,4259.487305,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,91.666664,4.000000,3.000000,4.000000,4.000000,4.000000,1.000000,0.000000,0.000000
1695758897.347726,1695758897.348609,3.000000,0.000000,4267.948730,4307.179688,4127.948730,4160.769043,4248.974121,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.355536,1695758897.356519,4.000000,0.000000,4275.897461,4302.179688,4127.820313,4163.205078,4250.512695,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.363346,1695758897.364329,5.000000,0.000000,4266.410156,4306.922852,4109.615234,4155.897461,4237.948730,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.371156,1695758897.372139,6.000000,0.000000,4260.897461,4291.153809,4100.897461,4147.307617,4232.051270,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.378966,1695758897.379949,7.000000,0.000000,4272.436035,4248.717773,4114.871582,4155.000000,4250.897461,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.386776,1695758897.387660,8.000000,0.000000,4273.974121,4267.179688,4111.282227,4161.410156,4251.025879,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.394586,1695758897.395470,9.000000,0.000000,4269.102539,4323.077148,4100.512695,4173.717773,4237.563965,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.402396,1695758897.403280,10.000000,0.000000,4274.102539,4308.461426,4113.461426,4188.974121,4248.205078,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.410206,1695758897.411090,11.000000,0.000000,4272.051270,4270.128418,4122.307617,4184.487305,4260.000000,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
